"log_price","host_response_time"
5.7037824746562,"within a few hours"
5.00394630594546,"within an hour"
4.55387689160054,"within an hour"
4.65396035015752,"within a few hours"
4.9416424226093,"within an hour"
4.86753445045558,"within an hour"
5.29330482472449,"within an hour"
5.34233425196481,"within an hour"
4.60517018598809,"within an hour"
4.70048036579242,"within a few hours"
4.64439089914137,"within an hour"
4.90527477843843,"within a few hours"
4.80402104473326,"within an hour"
5.06259503302697,"within an hour"
4.8283137373023,"within a few hours"
4.17438726989564,"within an hour"
4.60517018598809,"within an hour"
4.59511985013459,"within an hour"
4.83628190695148,"within an hour"
4.49980967033027,"within a few hours"
3.68887945411394,"within an hour"
3.91202300542815,"within an hour"
3.68887945411394,"within an hour"
3.68887945411394,"within an hour"
5.07517381523383,"within a few hours"
3.68887945411394,"within an hour"
5.01063529409626,"within an hour"
3.68887945411394,"within an hour"
6.35437004079735,"within a few hours"
3.68887945411394,"within an hour"
4.24849524204936,"within an hour"
4.60517018598809,"within a few hours"
5.52146091786225,"within a day"
5.01063529409626,"within a few hours"
5.29831736654804,"within a few hours"
4.55387689160054,"within a few hours"
3.68887945411394,"within an hour"
4.49980967033027,"within a few hours"
4.44265125649032,"within a day"
3.68887945411394,"within an hour"
3.68887945411394,"within a day"
5.50125821054473,"within a few hours"
4.69134788222914,"within an hour"
3.68887945411394,"within an hour"
5.16478597392351,"within an hour"
4.38202663467388,"within a few hours"
4.60517018598809,"within an hour"
3.68887945411394,"within an hour"
5.07517381523383,"within an hour"
4.00733318523247,"within an hour"
4.55387689160054,"within a few hours"
5.04342511691925,"within a few hours"
3.68887945411394,"within an hour"
5.52146091786225,"within an hour"
4.97673374242057,"within an hour"
5.53733426701854,"within an hour"
4.17438726989564,"within a day"
5.01063529409626,"within an hour"
3.80666248977032,"within an hour"
4.90527477843843,"within an hour"
4.44265125649032,"within a day"
5.73657229747919,"within a few hours"
3.68887945411394,"within an hour"
5.50125821054473,"within an hour"
4.78749174278205,"within an hour"
4.78749174278205,"within a few hours"
3.91202300542815,"within a day"
3.68887945411394,"within an hour"
4.55387689160054,"within an hour"
4.969813299576,"within a day"
4.97673374242057,"within a few hours"
3.71357206670431,"within an hour"
3.85014760171006,"within an hour"
3.76120011569356,"within an hour"
3.78418963391826,"within an hour"
3.80666248977032,"within an hour"
4.58496747867057,"within a few hours"
4.31748811353631,"within a few hours"
3.68887945411394,"within an hour"
4.44265125649032,"within an hour"
5.61677109766657,"within an hour"
4.65396035015752,"within a few hours"
4.35670882668959,"within a few hours"
4.55387689160054,"within a few hours"
4.58496747867057,"within a few hours"
4.70048036579242,"within a few hours"
5.85793315448346,"within an hour"
4.65396035015752,"within a few hours"
4.44265125649032,"within a few hours"
4.55387689160054,"within a few hours"
3.80666248977032,"within an hour"
5.52146091786225,"within a few hours"
4.71849887129509,"within an hour"
4.44265125649032,"within a few hours"
3.71357206670431,"within an hour"
4.36944785246702,"within a few hours"
4.24849524204936,"within a few hours"
4.70048036579242,"within a few hours"
4.8283137373023,"within an hour"
4.49980967033027,"within a few hours"
4.44265125649032,"within an hour"
4.44265125649032,"within a few hours"
4.47733681447821,"within a few hours"
4.52178857704904,"within a few hours"
4.24849524204936,"within a few hours"
4.53259949315326,"within a few hours"
3.68887945411394,"within an hour"
3.76120011569356,"within an hour"
4.49980967033027,"within a few hours"
4.74493212836325,"within an hour"
4.48863636973214,"within an hour"
4.44265125649032,"within a few hours"
3.85014760171006,"within an hour"
3.91202300542815,"within an hour"
4.65396035015752,"within a few hours"
4.4188406077966,"within a few hours"
4.97673374242057,"within a few hours"
4.55387689160054,"within a few hours"
5.01063529409626,"within a few hours"
4.58496747867057,"within a few hours"
4.70048036579242,"within an hour"
4.55387689160054,"within a few hours"
3.73766961828337,"within an hour"
5.52146091786225,"within a day"
4.65396035015752,"within a few hours"
5.01063529409626,"within a few hours"
5.94017125272043,"within an hour"
5.41610040220442,"within a day"
4.44265125649032,"within an hour"
4.36944785246702,"within an hour"
3.89182029811063,"within an hour"
5.79909265446053,"within an hour"
5.85793315448346,"within a few hours"
4.86753445045558,"within an hour"
4.38202663467388,"within an hour"
4.27666611901606,"within a day"
4.39444915467244,"within an hour"
4.06044301054642,"within a few hours"
4.60517018598809,"within a few hours"
4.65396035015752,"within an hour"
5.10594547390058,"within an hour"
4.39444915467244,"within an hour"
4.24849524204936,"within an hour"
4.49980967033027,"within an hour"
4.24849524204936,"within a few hours"
4.65396035015752,"within an hour"
4.70953020131233,"within a few hours"
4.68213122712422,"within an hour"
4.74493212836325,"within an hour"
4.7361984483945,"within a few hours"
5.29330482472449,"within an hour"
5.16478597392351,"within a few hours"
4.78749174278205,"within an hour"
5.07517381523383,"within a day"
5.01063529409626,"within an hour"
4.55387689160054,"within a few hours"
4.36944785246702,"within a day"
4.27666611901606,"within a day"
4.74493212836325,"within a few hours"
5.59842195899838,"within an hour"
5.7037824746562,"within a few hours"
4.46590811865458,"within a few hours"
5.04985600724954,"within a few hours"
4.49980967033027,"within a few hours"
4.74493212836325,"within an hour"
4.77912349311153,"within an hour"
5.39362754635236,"within an hour"
4.60517018598809,"within a few hours"
4.59511985013459,"within a few hours"
4.8283137373023,"within an hour"
5.29831736654804,"within a few hours"
5.65948221575962,"within a few hours"
4.49980967033027,"within an hour"
5.01063529409626,"within an hour"
5.01063529409626,"within an hour"
4.969813299576,"within an hour"
6.90675477864855,"within a few hours"
4.55387689160054,"within an hour"
5.01063529409626,"within an hour"
4.86753445045558,"within an hour"
4.85981240436167,"within an hour"
4.49980967033027,"within an hour"
5.01063529409626,"within a few hours"
4.93447393313069,"within an hour"
4.93447393313069,"within an hour"
4.78749174278205,"within a day"
4.8283137373023,"within an hour"
4.9416424226093,"within a day"
5.00394630594546,"within an hour"
4.53259949315326,"within an hour"
4.8283137373023,"within an hour"
5.04342511691925,"within a few hours"
5.76832099579377,"within a day"
5.29831736654804,"within a few hours"
5.3890717298165,"within an hour"
4.60517018598809,"within a few hours"
5.29831736654804,"within a few hours"
4.72738781871234,"within a few hours"
4.60517018598809,"within an hour"
4.66343909411207,"within a day"
4.38202663467388,"within an hour"
4.93447393313069,"within an hour"
4.90527477843843,"within a few hours"
4.93447393313069,"within an hour"
4.85981240436167,"within an hour"
4.59511985013459,"within an hour"
5.01063529409626,"within an hour"
5.00394630594546,"within an hour"
5.00394630594546,"within a few hours"
4.93447393313069,"within an hour"
5.00394630594546,"within an hour"
4.86753445045558,"within an hour"
4.74493212836325,"within an hour"
5.06890420222023,"within an hour"
4.60517018598809,"within an hour"
5.13579843705026,"within an hour"
4.90527477843843,"within an hour"
5.00394630594546,"within an hour"
4.74493212836325,"within an hour"
5.16478597392351,"within a few hours"
4.82028156560504,"within an hour"
5.12989871492307,"within a day"
3.55534806148941,"within a few hours"
4.74493212836325,"within an hour"
4.74493212836325,"within an hour"
5.10594547390058,"within an hour"
4.74493212836325,"within an hour"
4.97673374242057,"within an hour"
5.52146091786225,"within a few hours"
4.93447393313069,"within an hour"
4.55387689160054,"within a few hours"
5.12396397940326,"within a few hours"
